,customer_id,name,age,gender,income,occupation,city,txn_id,txn_date,txn_amount,txn_type,category,merchant_name
0,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T01930,2025-07-04 07:44:31,5514.86,Debit,Healthcare,Flipkart
1,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T02146,2025-01-25 14:40:31,7377.88,Debit,Salary,Flipkart
2,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T02430,2025-06-29 18:08:19,8031.14,Credit,Travel,Zomato
3,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T02962,2025-05-26 06:52:29,4477.04,Debit,Food,Goldman Sachs
4,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T03087,2025-01-13 13:34:56,3603.17,Credit,Food,Uber
5,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T04150,2025-03-25 08:08:44,8312.3,Credit,Shopping,Zomato
6,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T04457,2025-05-14 20:40:03,8502.78,Debit,Healthcare,Goldman Sachs
7,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T04803,2025-05-16 07:20:21,6021.34,Credit,Food,Zomato
8,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T05034,2025-06-14 16:19:34,3134.51,Debit,Shopping,Paytm
9,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T06289,2025-03-13 06:34:35,7321.74,Credit,Food,Flipkart
10,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T06740,2025-01-24 09:52:06,1738.73,Credit,Bills,Goldman Sachs
11,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T07044,2025-04-13 21:05:50,4526.05,Credit,Travel,Zomato
12,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T07080,2025-01-31 09:05:34,9015.68,Credit,Healthcare,Flipkart
13,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T07081,2025-01-31 23:48:07,2024.2,Debit,Salary,Paytm
14,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T07647,2025-05-26 11:30:11,7043.92,Credit,Food,Amazon
15,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T07705,2025-05-31 10:34:17,5693.04,Credit,Travel,Flipkart
16,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T08193,2025-05-24 23:11:09,6826.91,Debit,Shopping,Amazon
17,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T08397,2025-07-09 19:42:40,4657.43,Credit,Food,Goldman Sachs
18,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T08984,2025-04-13 11:27:56,8912.89,Debit,Salary,Zomato
19,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T09055,2025-07-09 22:44:09,3313.25,Debit,Shopping,Zomato
20,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T09383,2025-05-09 10:49:05,9930.89,Debit,Travel,Zomato
21,C0001,Stacy Wilson,45,F,127691,Designer,Kolkata,T09393,2025-01-31 17:03:42,9309.01,Credit,Travel,Goldman Sachs
